;tconst;primaryTitle;originalTitle;startYear;runtimeMinutes;genres;region
148;tt0080319;9 to 5;Nine to Five;1980;109.0;['Comedy'];US
149;tt0080322;Aakrosh;Aakrosh;1980;144.0;['Crime', 'Drama', 'Music'];GB
150;tt0080335;Afternoon Breezes;Kazetachi no gogo;1980;105.0;['Drama'];US
151;tt0080339;Airplane!;Airplane!;1980;88.0;['Comedy'];US
152;tt0080341;In Search of Famine;Akaler Sandhane;1981;115.0;['Drama'];US
153;tt0080343;Albert Pinto Ko Gussa Kyon Ata Hai;Albert Pinto Ko Gussa Kyon Ata Hai;1980;110.0;['Comedy', 'Drama', 'Romance'];US
154;tt0080346;The Alien Dead;The Alien Dead;1980;74.0;['Comedy', 'Horror', 'Sci-Fi'];US
155;tt0080354;Alligator;Alligator;1980;91.0;['Horror', 'Sci-Fi', 'Thriller'];US
156;tt0080355;The Boy Soldier;Allons z'enfants;1981;118.0;['Drama', 'War'];US
157;tt0080360;Altered States;Altered States;1980;102.0;['Horror', 'Sci-Fi', 'Thriller'];US
158;tt0080361;L'altra donna;L'altra donna;1980;87.0;['Drama'];FR
159;tt0080362;The Other Hell;L'altro inferno;1981;88.0;['Horror', 'Thriller'];US
160;tt0080363;Madame Olga's Pupils;Las alumnas de madame Olga;1981;83.0;['Drama'];US
161;tt0080365;American Gigolo;American Gigolo;1980;117.0;['Crime', 'Drama', 'Mystery'];US
162;tt0080373;Light Years Away;Les années lumière;1981;107.0;['Drama'];US
163;tt0080376;Barsaat Ki Ek Raat;Barsaat Ki Ek Raat;1981;142.0;['Romance', 'Thriller'];US
164;tt0080377;Any Which Way You Can;Any Which Way You Can;1980;116.0;['Action', 'Comedy'];US
165;tt0080379;Cannibals in the Streets;Apocalypse domani;1980;96.0;['Drama', 'Fantasy', 'Horror'];US
166;tt0080380;The Apple;The Apple;1980;90.0;['Music', 'Musical', 'Sci-Fi'];US
167;tt0080388;Atlantic City;Atlantic City;1980;104.0;['Crime', 'Drama', 'Romance'];US
168;tt0080401;The Warning;L'avvertimento;1980;108.0;['Crime', 'Drama'];US
169;tt0080402;The Awakening;The Awakening;1980;105.0;['Horror'];US
170;tt0080404;Evening Rain;Ba shan ye yu;1980;86.0;['Drama'];US
171;tt0080406;Babylon;Babylon;1980;95.0;['Drama'];US
172;tt0080408;Bad Timing: A Sensual Obsession;Bad Timing;1980;123.0;['Drama', 'Mystery', 'Thriller'];US
173;tt0080412;The Baltimore Bullet;The Baltimore Bullet;1980;103.0;['Comedy', 'Crime', 'Drama'];US
174;tt0080414;Ban ye xiao zi;Ban ye xiao zi;1980;83.0;['Action', 'Comedy'];FR
175;tt0080415;The Lady Banker;La banquière;1980;131.0;['Comedy', 'Drama'];FR
176;tt0080419;Barnens ö;Barnens ö;1980;109.0;['Drama', 'Romance'];US
177;tt0080421;Battle Beyond the Stars;Battle Beyond the Stars;1980;104.0;['Action', 'Adventure', 'Sci-Fi'];US
178;tt0080427;Below the Belt;Below the Belt;1980;91.0;['Action', 'Comedy', 'Drama'];US
179;tt0080431;Beyond Evil;Beyond Evil;1980;94.0;['Horror'];US
180;tt0080432;Beyond Reasonable Doubt;Beyond Reasonable Doubt;1980;129.0;['Crime', 'Drama', 'Mystery'];GB
181;tt0080436;Battle Creek Brawl;Battle Creek Brawl;1980;95.0;['Action', 'Comedy', 'Crime'];US
182;tt0080437;The Big Red One;The Big Red One;1980;113.0;['Drama', 'War'];US
183;tt0080438;Satan's Baby Doll;La bimba di Satana;1982;75.0;['Horror'];US
184;tt0080439;The Taming of the Scoundrel;Il bisbetico domato;1980;107.0;['Comedy', 'Romance'];GB
185;tt0080440;The Black Cat;Gatto nero;1981;92.0;['Horror'];US
186;tt0080441;Black Jack;Asalto al casino;1981;104.0;['Action', 'Crime'];GB
187;tt0080442;The Black Marble;The Black Marble;1980;113.0;['Comedy', 'Crime', 'Drama'];US
188;tt0080446;Blood Money;Blood Money;1980;62.0;['Crime', 'Drama'];US
