;tconst;primaryTitle;originalTitle;startYear;runtimeMinutes;genres;region;averageRating;numVotes;weight_average
5791;tt0095214;Ghost's Hospital;Mong gwai yee yuen;1988;90.0;['Horror'];US;6.4;9.0;0.0
4172;tt0091285;Diamond Run;Java Burn;1988;85.0;['Action'];US;4.1;33.0;0.0
5790;tt0095212;Getting Even;La vendetta;1989;93.0;['Action', 'Adventure'];US;4.1;64.0;0.0
4055;tt0091017;L'escot;L'escot;1987;104.0;['Comedy', 'Romance'];US;4.0;38.0;0.0
5600;tt0094807;Sprays of Champagne;Bryzgi shampanskogo;1989;100.0;['Drama', 'War'];US;6.6;49.0;0.0
4052;tt0091005;Elysium;Elysium;1987;118.0;['Drama', 'War'];GB;6.9;47.0;0.0
5606;tt0094818;Bush Shrink;Bush Shrink;1988;91.0;['Adventure', 'Crime', 'Drama'];US;4.2;8.0;0.0
4048;tt0090997;The Education of Allison Tate;The Education of Allison Tate;1986;88.0;['Drama'];US;5.6;55.0;0.0
5609;tt0094821;Bye Bye Vietnam;Bye Bye Vietnam;1989;90.0;['Action', 'War'];GB;4.5;50.0;0.0
4033;tt0090964;Douce France;Douce France;1986;90.0;['Drama', 'Romance', 'War'];FR;5.7;23.0;0.0
5617;tt0094836;Caro Gorbaciov;Caro Gorbaciov;1988;81.0;['Drama'];US;6.6;28.0;0.0
4021;tt0090938;The Devil Wears White;The Devil Wears White;1986;92.0;['Action'];US;4.8;17.0;0.0
4020;tt0090935;Desire;Desiderio;1984;97.0;['Drama'];FR;3.6;20.0;0.0
5627;tt0094856;No Compromise;Chi dan qing;1988;95.0;['Action', 'Crime'];US;6.5;46.0;0.0
5633;tt0094866;Chimère;Chimère;1989;94.0;['Drama'];FR;5.5;43.0;0.0
3995;tt0090876;Cool Change;Cool Change;1986;89.0;['Action', 'Adventure', 'Drama'];US;6.1;53.0;0.0
3993;tt0090873;Confidential;Confidential;1986;95.0;['Crime', 'Thriller'];GB;4.9;49.0;0.0
5639;tt0094878;The Road Home;Cienie;1988;97.0;['Drama', 'War'];US;6.2;20.0;0.0
5649;tt0094892;Codice privato;Codice privato;1988;90.0;['Drama', 'Romance'];US;5.8;46.0;0.0
5650;tt0094893;Leathernecks;Colli di cuoio;1989;87.0;['Adventure', 'War'];FR;5.5;45.0;0.0
5652;tt0094895;The Overthrow;Colpo di stato;1987;81.0;['Action'];US;4.4;33.0;0.0
5594;tt0094790;Boundaries of the Heart;Boundaries of the Heart;1988;105.0;['Drama'];GB;6.2;40.0;0.0
4062;tt0091028;Fahrschule;Fahrschule;1986;85.0;['Comedy'];US;5.8;22.0;0.0
4067;tt0091039;The Secret Wife;La femme secrète;1986;95.0;['Drama'];US;5.0;22.0;0.0
4131;tt0091179;The House on the River;Das Haus am Fluß;1986;89.0;['Drama', 'Family', 'War'];US;6.3;26.0;0.0
5522;tt0094652;Amerika, Terra Incognita;Amérika, terra incógnita;1988;98.0;['Drama', 'Fantasy'];US;6.2;28.0;0.0
4157;tt0091241;Hôtel du Paradis;Hôtel du Paradis;1986;113.0;['Drama'];FR;5.7;16.0;0.0
4154;tt0091234;The Humpty Dumpty Man;The Humpty Dumpty Man;1989;94.0;['Drama', 'Thriller'];US;5.4;23.0;0.0
5539;tt0094690;L'autre nuit;L'autre nuit;1988;91.0;['Drama'];FR;6.2;37.0;0.0
4150;tt0091226;Why, Why, Tell Me Why!;Huai nu hai;1986;90.0;['Comedy', 'Drama', 'Romance'];US;5.9;45.0;0.0
4142;tt0091210;The Smile of the Lamb;Hiuch HaGdi;1986;95.0;['Drama'];US;6.7;45.0;0.0
4132;tt0091180;Havre;Havre;1986;90.0;['Drama'];FR;5.4;23.0;0.0
4116;tt0091140;Goodbye My Love;E nan;1986;105.0;['Action', 'Drama', 'Romance'];US;6.1;49.0;0.0
4074;tt0091058;Flavia;Flavia;1987;95.0;['Drama'];GB;3.9;60.0;0.0
5557;tt0094727;Belaya kost;Belaya kost;1988;100.0;['Comedy', 'Crime'];FR;5.6;40.0;0.0
5558;tt0094728;Midnight Dancer;Belinda;1988;97.0;['Drama'];US;5.5;41.0;0.0
4111;tt0091128;Going Sane;Going Sane;1987;89.0;['Comedy'];US;5.2;24.0;0.0
5563;tt0094735;Beyond Gravity;Beyond Gravity;1989;48.0;['Comedy'];FR;6.9;47.0;0.0
4093;tt0091092;Fuegos;Fuegos;1987;95.0;['Drama'];FR;3.9;14.0;0.0
5573;tt0094751;Black mic-mac 2;Black mic-mac 2;1988;89.0;['Comedy'];FR;3.2;30.0;0.0
4088;tt0091084;From Here to Prosperity;Duo bao ji shang ji;1986;91.0;['Comedy', 'Crime'];US;5.9;11.0;0.0
5579;tt0094763;The Bloody Monks;Blood Screams;1989;81.0;['Fantasy', 'Horror', 'Thriller'];US;5.0;61.0;0.0
3970;tt0090817;Châteauroux district;Châteauroux district;1987;85.0;['Drama'];FR;6.2;31.0;0.0
5659;tt0094911;La couleur du vent;La couleur du vent;1988;81.0;['Comedy', 'Drama'];FR;5.3;23.0;0.0
5661;tt0094917;One Way Out;One Way Out;1987;90.0;['Action', 'Crime', 'Drama'];US;4.7;48.0;0.0
5762;tt0095155;Fifty Fifty;Fifty Fifty;1988;90.0;['Comedy'];GB;6.1;27.0;0.0
5739;tt0095099;L'enfance de l'art;L'enfance de l'art;1988;107.0;['Drama'];FR;5.4;32.0;0.0
5740;tt0095103;Envoyez les violons;Envoyez les violons;1988;87.0;['Comedy', 'Romance'];FR;5.2;42.0;0.0
3847;tt0090355;You're in the Movies;You're in the Movies;1985;83.0;['Comedy'];FR;3.6;42.0;0.0
3844;tt0090345;I Remember You;Ya tebya pomnyu;1985;92.0;['Drama', 'Romance'];US;6.6;41.0;0.0
3841;tt0090338;Woman of Wonders;La donna delle meraviglie;1985;106.0;['Drama', 'Romance'];US;4.1;40.0;0.0
