;tconst;titleType;primaryTitle;originalTitle;isAdult;startYear;endYear;runtimeMinutes;genres;averageRating;numVotes
169;tt0079564;movie;My Days with Veronica;Mis días con Verónica;False;1980;;87.0;['Drama'];6.9;10.0
170;tt0079572;movie;Mojado Power;Mojado Power;False;1981;;108.0;['Comedy'];6.2;67.0
171;tt0079573;movie;Monstroid;Monster;False;1980;;98.0;['Horror', 'Sci-Fi'];2.7;781.0
172;tt0079579;movie;Moscow Does Not Believe in Tears;Moskva slezam ne verit;False;1980;;150.0;['Comedy', 'Drama', 'Romance'];8.1;13078.0
173;tt0079586;movie;Girl with the Golden Panties;La muchacha de las bragas de oro;False;1980;;105.0;['Drama', 'Thriller'];5.4;208.0
174;tt0079610;movie;Naplemente délben;Naplemente délben;False;1980;;100.0;['Drama'];5.7;10.0
175;tt0079612;movie;Napoli storia d'amore e di vendetta;Napoli storia d'amore e di vendetta;False;1980;;88.0;['Action', 'Crime'];;
176;tt0079616;movie;Neem Annapurna;Neem Annapurna;False;1980;;95.0;['Drama'];5.8;23.0
177;tt0079617;movie;The Truth on the Savolta Affair;La verdad sobre el caso Savolta;False;1980;;120.0;['Drama'];6.2;201.0
178;tt0079619;movie;A Few Days from the Life of I.I. Oblomov;Neskolko dney iz zhizni I.I. Oblomova;False;1980;;140.0;['Comedy', 'Drama', 'History'];7.6;2326.0
179;tt0079624;movie;Secrets of a French Maid;Die Nichten der Frau Oberst;False;1980;;88.0;['Comedy'];4.9;313.0
180;tt0079625;movie;El nido;El nido;False;1980;;97.0;['Drama'];7.0;568.0
181;tt0079630;movie;A Nightingale Sang in Berkeley Square;A Nightingale Sang in Berkeley Square;False;1980;;102.0;['Comedy', 'Crime'];5.7;446.0
182;tt0079650;movie;Okey, Mister Pancho;Okey, Mister Pancho;False;1981;;;['Adventure', 'Comedy', 'Family'];7.0;79.0
183;tt0079680;movie;Osobo vazhnoye zadaniye;Osobo vazhnoye zadaniye;False;1981;;138.0;['Drama', 'War'];6.7;31.0
184;tt0079686;movie;Otoko wa tsurai yo: Torajiro kamome uta;Otoko wa tsurai yo: Torajiro kamome uta;False;1980;;97.0;['Comedy'];6.7;71.0
185;tt0079694;movie;Panelstory or Birth of a Community;Panelstory aneb Jak se rodí sídliste;False;1980;;96.0;['Comedy'];7.0;379.0
186;tt0079695;movie;Pani Mariya;Pani Mariya;False;1980;;89.0;['Romance', 'War'];6.8;16.0
187;tt0079706;movie;Paydirt;Paydirt;False;1981;;95.0;['Crime', 'Thriller'];5.6;26.0
188;tt0079712;movie;Perro callejero II;Perro callejero II;False;1981;;96.0;['Action', 'Drama'];7.4;77.0
189;tt0079718;movie;Piedone d'Egitto;Piedone d'Egitto;False;1980;;106.0;['Action', 'Comedy', 'Crime'];6.1;3305.0
190;tt0079719;movie;The Pilot;The Pilot;False;1980;;92.0;['Action', 'Drama'];6.5;237.0
191;tt0079729;movie;Podróz do Arabii;Podróz do Arabii;False;1980;;92.0;['Drama'];6.0;9.0
192;tt0079730;movie;Poema o krylyakh;Poema o krylyakh;False;1980;;161.0;['Biography', 'Drama', 'History'];7.6;30.0
193;tt0079735;movie;The Rebel;Poliziotto solitudine e rabbia;False;1980;;87.0;['Action', 'Crime', 'Drama'];5.9;118.0
194;tt0079741;movie;Poslednyaya okhota;Poslednyaya okhota;False;1980;;81.0;['Action', 'Adventure'];6.7;27.0
195;tt0079744;movie;Getting to Know the Big, Wide World;Poznavaya belyy svet;False;1980;;75.0;['Drama'];7.2;267.0
196;tt0079746;movie;Der Preis fürs Überleben;Der Preis fürs Überleben;False;1980;;103.0;['Drama'];6.3;19.0
197;tt0079749;movie;Adventures of Ali-Baba and the Forty Thieves;Alibaba Aur 40 Chor;False;1980;;138.0;['Action', 'Adventure', 'Family'];6.2;573.0
198;tt0079760;movie;The Donkey-Eared Prince;O Príncipe com Orelhas de Burro;False;1980;;105.0;['Comedy', 'Fantasy'];4.9;13.0
199;tt0079762;movie;¡Pum!;¡Pum!;False;1981;;101.0;['Comedy', 'Drama'];5.2;14.0
200;tt0079765;movie;Give Me Five;Qua la mano;False;1980;;137.0;['Comedy'];6.0;305.0
201;tt0079788;movie;Zombie Holocaust;Zombi Holocaust;False;1980;;84.0;['Adventure', 'Horror', 'Mystery'];5.2;5505.0
202;tt0079790;movie;A Time to Mend;Rembulan dan Matahari;False;1980;;100.0;['Drama'];;
203;tt0079799;movie;A Married Woman;Retrato de una mujer casada;False;1982;;92.0;['Drama', 'Thriller'];7.0;67.0
204;tt0079811;movie;Rivals;Rivals;False;1981;;110.0;['Drama'];6.1;62.0
205;tt0079820;movie;The King and the Mockingbird;Le roi et l'oiseau;False;1980;;83.0;['Animation', 'Family', 'Fantasy'];7.7;5161.0
206;tt0079830;movie;Rukojmí v Bella Vista;Rukojmí v Bella Vista;False;1980;;128.0;['Drama'];4.8;28.0
207;tt0079835;movie;S lyubimymi ne rasstavaytes;S lyubimymi ne rasstavaytes;False;1980;;76.0;['Drama', 'Romance'];7.1;207.0
208;tt0079839;movie;Fun Is Beautiful;Un sacco bello;False;1980;;97.0;['Comedy'];7.2;2660.0
209;tt0079845;movie;A Leap in the Dark;Salto nel vuoto;False;1980;;120.0;['Drama', 'Romance'];7.0;429.0
210;tt0079851;movie;El oreja rajada;El oreja rajada;False;1980;;90.0;['Adventure', 'Comedy', 'Drama'];6.1;20.0
211;tt0079854;movie;Every Man for Himself;Sauve qui peut (la vie);False;1980;;87.0;['Drama'];6.6;3519.0
212;tt0079874;movie;Never Never Land;Never Never Land;False;1980;;85.0;['Drama', 'Family'];7.1;51.0
213;tt0079888;movie;Shanghai Massacre;Shang Hai Tan da ye;False;1981;;;['Action', 'Drama'];5.3;18.0
214;tt0079889;movie;Sankarabharanam;Sankarabharanam;False;1980;;143.0;['Drama', 'Music', 'Romance'];8.8;2209.0
215;tt0079891;movie;Shaolin Temple;Shao Lin si;False;1982;;100.0;['Action', 'Comedy', 'Drama'];6.8;4444.0
216;tt0079896;movie;The Brave Archer III;She diao ying xiong chuan san ji;False;1981;;92.0;['Action', 'Drama'];6.3;202.0
217;tt0079897;movie;Snake Deadly Act;She xing zui bu;False;1980;;90.0;['Action'];6.6;106.0
218;tt0079899;movie;Brave Archer and His Mate;Shen diao xia lü;False;1982;;100.0;['Action', 'Romance'];5.4;178.0
219;tt0079915;movie;Skullduggery;Skullduggery;False;1983;;95.0;['Comedy', 'Horror'];2.6;383.0
220;tt0079924;movie;Solo Sunny;Solo Sunny;False;1980;;104.0;['Drama', 'Music'];6.9;743.0
221;tt0079926;movie;Solovey;Solovey;False;1980;;85.0;['Family', 'Musical'];6.9;46.0
222;tt0079934;movie;Sonntagskinder;Sonntagskinder;False;1980;;101.0;['Drama', 'Romance', 'War'];5.2;15.0
223;tt0079938;movie;The Touch;Sparsh;False;1980;;145.0;['Drama', 'Romance'];8.0;851.0
224;tt0079959;movie;Strong Medicine;Strong Medicine;False;1981;;84.0;['Drama'];6.3;81.0
225;tt0079985;movie;The Secret Life of Nikola Tesla;Tajna Nikole Tesle;False;1980;;115.0;['Biography', 'Drama'];7.2;1406.0
226;tt0080001;movie;Temporale Rosy;Temporale Rosy;False;1980;;118.0;['Action', 'Comedy', 'Drama'];5.5;184.0
