,Unnamed: 0,tconst,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,region,averageRating,numVotes,weight_average
8288,8288,tt0189940,Ktor me yerkinq,Ktor me yerkinq,1980,92.0,"['Comedy', 'Drama', 'Romance']",US,7.8,248.0,3e-05
8372,8372,tt0198684,Mafia vs. Ninja,Hong men jue e zhe,1985,90.0,"['Action', 'Crime', 'Drama']",FR,6.1,327.0,3e-05
6334,6334,tt0096516,Straight for the Heart,À corps perdu,1988,92.0,"['Drama', 'Romance', 'War']",US,6.9,242.0,3e-05
4709,4709,tt0092678,Late Summer Blues,Blues Lahofesh Hagadol,1987,90.0,"['Drama', 'Romance']",US,7.5,286.0,3e-05
5079,5079,tt0093456,Lust for Freedom,Lust for Freedom,1987,92.0,"['Crime', 'Drama', 'Thriller']",US,3.7,511.0,3e-05
8335,8335,tt0194876,Prickly Pears,Fico d'India,1980,98.0,['Comedy'],FR,6.0,332.0,3e-05
4713,4713,tt0092688,Boris Godunov,Boris Godunov,1986,141.0,"['Drama', 'History']",FR,6.6,267.0,3e-05
7313,7313,tt0111254,Save and Protect,Spasi i sokhrani,1989,167.0,"['Drama', 'History']",US,6.4,295.0,3e-05
6793,6793,tt0097929,The Murder Secret,Non aver paura della zia Marta,1988,88.0,['Horror'],US,5.1,351.0,3e-05
5511,5511,tt0094632,Transformations,Transformations,1988,84.0,"['Horror', 'Sci-Fi']",US,3.9,455.0,3e-05
8325,8325,tt0193647,You Are Not I,You Are Not I,1981,50.0,['Drama'],US,6.7,329.0,3e-05
6955,6955,tt0098316,Female Reporter,Shi jie da shai,1989,90.0,"['Action', 'Comedy']",US,6.0,345.0,3e-05
4759,4759,tt0092781,Control,Il giorno prima,1987,107.0,"['Drama', 'Thriller']",US,5.9,292.0,3e-05
5062,5062,tt0093419,Lilac Ball,Lilovyy shar,1987,77.0,"['Adventure', 'Family', 'Fantasy']",US,5.8,358.0,3e-05
5695,5695,tt0094969,Deadly Dreams,Deadly Dreams,1988,79.0,"['Horror', 'Thriller']",US,4.8,432.0,3e-05
8265,8265,tt0188206,Happy New Year,Srecna nova '49,1986,125.0,"['Action', 'Comedy', 'Crime']",US,7.9,254.0,3e-05
8238,8238,tt0186896,The Boys in Blue,The Boys in Blue,1983,91.0,"['Comedy', 'Family']",GB,4.4,512.0,3e-05
6134,6134,tt0096039,Saturday the 14th Strikes Back,Saturday the 14th Strikes Back,1988,78.0,"['Comedy', 'Fantasy', 'Horror']",US,3.1,652.0,3e-05
7368,7368,tt0121922,Faithfully Yours,Jui gaai lui sai,1988,88.0,['Comedy'],US,5.6,364.0,3e-05
8224,8224,tt0185976,Carnage,Carnage,1984,91.0,['Horror'],US,3.5,551.0,3e-05
6944,6944,tt0098287,Death of a Tea Master,Sen no Rikyu: Honkakubô ibun,1989,107.0,"['Drama', 'History']",US,6.9,325.0,3e-05
5052,5052,tt0093403,Lemon Sky,Lemon Sky,1988,106.0,['Drama'],US,6.4,310.0,3e-05
6474,6474,tt0097076,Cold Feet,Cold Feet,1989,94.0,"['Comedy', 'Crime']",US,4.8,425.0,3e-05
4813,4813,tt0092870,Demon of Paradise,Demon of Paradise,1987,87.0,"['Horror', 'Thriller']",US,3.8,507.0,3e-05
6922,6922,tt0098240,Freedom Is Paradise,S.E.R. - Svoboda eto rai,1989,76.0,"['Adventure', 'Drama']",US,6.8,299.0,3e-05
4998,4998,tt0093266,Instant Justice,Instant Justice,1986,101.0,"['Action', 'Drama']",US,4.2,529.0,3e-05
7551,7551,tt0129855,The Curse of the Screaming Dead,The Curse of the Screaming Dead,1982,91.0,['Horror'],US,2.3,715.0,3e-05
6096,6096,tt0095940,High Frequency,Qualcuno in ascolto,1988,105.0,"['Mystery', 'Thriller']",US,6.4,257.0,3e-05
7743,7743,tt0143837,Rio Babilonia,Rio Babilônia,1982,115.0,['Drama'],US,5.4,323.0,3e-05
7540,7540,tt0128687,Taboo: The Single and the LP,Taboo: The Single and the LP,1980,53.0,['Comedy'],US,7.3,226.0,3e-05
6501,6501,tt0097158,Dark Obsession,Diamond Skulls,1989,100.0,"['Drama', 'Thriller']",US,4.8,363.0,3e-05
5975,5975,tt0095643,Cyber Ninja,Mirai Ninja: Keiun Kinin Gaiden,1988,71.0,"['Action', 'Fantasy', 'Sci-Fi']",US,6.2,321.0,3e-05
7548,7548,tt0129454,Treasures of the Snow,Treasures of the Snow,1980,108.0,['Drama'],US,6.8,241.0,3e-05
6101,6101,tt0095952,Dial Help,Minaccia d'amore,1988,94.0,"['Horror', 'Mystery']",US,4.5,506.0,3e-05
6100,6100,tt0095951,The Raggedy Rawney,The Raggedy Rawney,1988,103.0,"['Drama', 'Romance', 'War']",US,6.3,355.0,3e-05
5985,5985,tt0095659,Mortuary Academy,Mortuary Academy,1988,87.0,['Comedy'],US,4.7,392.0,3e-05
5609,5609,tt0094822,Baton Rouge,Baton Rouge,1988,90.0,"['Crime', 'Mystery', 'Romance']",US,6.1,306.0,3e-05
4917,4917,tt0093101,Twilight of the Cockroaches,Gokiburi-tachi no tasogare,1987,105.0,"['Animation', 'Drama', 'Horror']",US,6.4,261.0,3e-05
5991,5991,tt0095677,Murder One,Murder One,1988,82.0,"['Biography', 'Crime', 'Drama']",US,5.5,347.0,3e-05
4945,4945,tt0093163,Hearts of Fire,Hearts of Fire,1987,95.0,"['Drama', 'Music', 'Romance']",US,4.4,494.0,3e-05
7556,7556,tt0130023,"Iancu Jianu, the Tax Collector","Iancu Jianu, zapciul",1981,90.0,"['Action', 'Drama', 'History']",US,7.6,216.0,3e-05
5591,5591,tt0094787,The Jeweller's Shop,La bottega dell'orefice,1988,88.0,"['Drama', 'Mystery', 'Romance']",US,5.9,294.0,3e-05
6402,6402,tt0096911,"Bert Rigby, You're a Fool","Bert Rigby, You're a Fool",1989,94.0,"['Comedy', 'Musical']",US,5.8,314.0,3e-05
6508,6508,tt0097172,Dealers,Dealers,1989,87.0,['Drama'],US,5.4,382.0,3e-05
6894,6894,tt0098185,A Fool and His Money,"Religion, Inc.",1989,84.0,"['Comedy', 'Drama']",US,3.6,591.0,3e-05
7649,7649,tt0137149,The Forest Woman,Padureanca,1987,109.0,"['Drama', 'Romance']",US,7.9,250.0,3e-05
7599,7599,tt0133011,The Man in the Black Cape,O Homem da Capa Preta,1986,120.0,"['Biography', 'Crime']",US,7.3,290.0,3e-05
6895,6895,tt0098187,Full Moon in New York,Ren zai Niu Yue,1989,88.0,['Drama'],US,6.9,275.0,3e-05
7636,7636,tt0135032,Utopia,Utopia,1983,198.0,['Drama'],US,7.7,284.0,3e-05
7524,7524,tt0127745,The Puppetoon Movie,The Puppetoon Movie,1987,79.0,"['Animation', 'Family']",US,7.2,248.0,3e-05
7523,7523,tt0127503,Death House,Death House,1988,90.0,"['Action', 'Horror', 'Sci-Fi']",US,4.1,528.0,3e-05
7516,7516,tt0126814,Big Meat Eater,Big Meat Eater,1982,82.0,"['Comedy', 'Horror', 'Musical']",US,5.3,384.0,3e-05
7816,7816,tt0150844,Armageddon: The Great Battle with Genma,Harmagedon: Genma taisen,1983,135.0,"['Adventure', 'Animation', 'Fantasy']",FR,5.4,400.0,3e-05
4997,4997,tt0093261,Les innocents,Les innocents,1987,96.0,['Drama'],FR,6.3,291.0,3e-05
8020,8020,tt0166985,Angel Guts: Red Porno,Tenshi no harawata: Akai inga,1981,67.0,"['Drama', 'Thriller']",US,5.8,296.0,3e-05
7466,7466,tt0124442,Dreamaniac,Dreamaniac,1986,82.0,['Horror'],US,3.4,568.0,3e-05
5653,5653,tt0094899,The Commander,Der Commander,1988,105.0,"['Action', 'War']",US,4.8,421.0,3e-05
8013,8013,tt0166544,Count Tacchia,Il conte Tacchia,1982,117.0,['Comedy'],US,6.2,312.0,3e-05
7985,7985,tt0165621,Les amazones du temple d'or,Les amazones du temple d'or,1986,86.0,['Adventure'],US,3.8,474.0,3e-05
6831,6831,tt0098035,The Last Schoolbell,Ostatni dzwonek,1989,107.0,['Drama'],US,7.2,305.0,3e-05
5961,5961,tt0095616,Bless This House,Mang gwai fat tiu cheung,1988,79.0,"['Comedy', 'Horror']",US,5.1,320.0,3e-05
4851,4851,tt0092955,"Iron Earth, Copper Sky",Yer Demir Gök Bakir,1987,94.0,['Drama'],US,6.8,277.0,3e-05
7895,7895,tt0158628,Gall Force: Eternal Story,Gall Force: Eternal Story,1986,86.0,"['Action', 'Animation', 'Sci-Fi']",US,6.5,311.0,3e-05
7892,7892,tt0158568,Crusher Joe: The Movie,Kurasshâ Jô,1983,132.0,"['Action', 'Animation', 'Sci-Fi']",US,6.9,293.0,3e-05
4858,4858,tt0092966,En toute innocence,En toute innocence,1988,100.0,"['Crime', 'Drama', 'Thriller']",US,6.2,309.0,3e-05
7481,7481,tt0125434,School in the Crosshairs,Nerawareta gakuen,1981,90.0,"['Fantasy', 'Sci-Fi']",US,6.1,338.0,3e-05
7489,7489,tt0125589,"Walter and Carlo, Part II, Yes, It's Daddy","Walter og Carlo - yes, det er far",1986,81.0,['Comedy'],US,4.4,482.0,3e-05
7883,7883,tt0157882,Kamla Ki Maut,Kamla Ki Maut,1989,95.0,['Drama'],US,7.4,229.0,3e-05
7506,7506,tt0126301,Final Justice,Pik lik sin fung,1988,95.0,"['Action', 'Crime']",US,6.2,346.0,3e-05
4866,4866,tt0092987,After Rubicon,Etter Rubicon,1987,93.0,"['Drama', 'Thriller']",US,5.9,276.0,3e-05
7875,7875,tt0156136,Tik Tik Tik,Tik Tik Tik,1981,164.0,"['Crime', 'Mystery', 'Thriller']",GB,6.9,280.0,3e-05
5971,5971,tt0095633,Mignon Has Come to Stay,Mignon è partita,1988,96.0,"['Drama', 'Romance']",GB,6.6,337.0,3e-05
5568,5568,tt0094745,Images of the World and the Inscription of War,Bilder der Welt und Inschrift des Krieges,1989,75.0,"['Documentary', 'War']",US,7.6,290.0,3e-05
7871,7871,tt0155841,The Beloved Woman of Mechanic Gavrilov,Lyubimaya zhenshchina mekhanika Gavrilova,1982,79.0,"['Comedy', 'Romance']",US,6.8,304.0,3e-05
4704,4704,tt0092672,Blood Relations,Blood Relations,1988,90.0,['Horror'],US,4.9,365.0,3e-05
